driver_id,name,city,shift_preference,avg_hours_per_day,avg_earnings_per_hour,experience_months,rating,daily_productivity,avg_combined_score,avg_motion_score,avg_audio_score,total_flags,risk_score,risk_label,source
DRV0069,Kavitha Driver69,Mumbai,afternoon,7.5,184,12,4.7,1380.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0070,Vijay Driver70,Pune,afternoon,6.7,193,46,4.8,1293.1,0.56,0.615,0.505,2.0,23.200000000000003,MEDIUM,original
DRV0071,Pooja Driver71,Pune,full_day,8.8,177,38,4.8,1557.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0072,Anita Driver72,Pune,afternoon,8.3,196,9,4.5,1626.8000000000002,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0073,Sanjay Driver73,Delhi,afternoon,8.2,172,44,4.5,1410.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0074,Lakshmi Driver74,Hyderabad,afternoon,7.8,195,46,5.0,1521.0,0.55,0.57,0.525,2.0,22.8,MEDIUM,original
DRV0075,Rahul Driver75,Hyderabad,morning,6.8,200,38,4.5,1360.0,0.9,0.93,0.86,1.0,36.4,HIGH,original
DRV0076,Shweta Driver76,Delhi,afternoon,8.2,202,24,4.5,1656.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0077,Amit Driver77,Ahmedabad,morning,6.8,194,16,4.5,1319.2,0.66,0.4,0.91,1.0,26.8,HIGH,original
DRV0078,Manoj Driver78,Kolkata,afternoon,8.1,181,38,4.9,1466.1,0.63,0.745,0.51,2.0,26.0,HIGH,original
DRV0079,Kavitha Driver79,Mumbai,morning,6.3,178,46,4.7,1121.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0080,Rahul Driver80,Kolkata,full_day,7.3,172,41,4.7,1255.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0081,Anita Driver81,Kolkata,evening,8.1,176,35,4.5,1425.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0082,Anita Driver82,Pune,morning,7.0,204,34,4.6,1428.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0083,Rahul Driver83,Mumbai,morning,7.8,194,21,4.8,1513.2,0.52,0.565,0.48,2.0,21.6,MEDIUM,original
DRV0084,Amit Driver84,Kolkata,evening,6.4,197,45,4.6,1260.8000000000002,0.645,0.7150000000000001,0.575,2.0,26.6,HIGH,original
DRV0085,Priya Driver85,Kolkata,evening,8.1,195,21,4.6,1579.5,0.8,0.74,0.86,1.0,32.4,HIGH,original
DRV0086,Priya Driver86,Ahmedabad,afternoon,7.3,205,38,4.6,1496.5,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0087,Rekha Driver87,Chennai,full_day,8.6,177,22,4.7,1522.2,0.4,0.37,0.42,1.0,16.4,MEDIUM,original
DRV0088,Lakshmi Driver88,Bangalore,afternoon,7.8,191,43,4.8,1489.8,0.47,0.535,0.405,2.0,19.6,MEDIUM,original
DRV0089,Kavita Driver89,Delhi,full_day,9.4,170,13,4.9,1598.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0090,Anita Driver90,Kolkata,morning,6.2,184,31,4.4,1140.8,0.595,0.66,0.53,2.0,24.6,MEDIUM,original
DRV0091,Kavita Driver91,Kolkata,full_day,8.1,203,26,4.8,1644.3,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0092,Kavitha Driver92,Mumbai,afternoon,8.2,198,8,4.5,1623.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0093,Sandeep Driver93,Hyderabad,afternoon,6.1,202,41,4.8,1232.1999999999998,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0094,Kavitha Driver94,Delhi,morning,7.3,170,18,4.5,1241.0,0.6699999999999999,0.495,0.845,2.0,27.6,HIGH,original
DRV0095,Vijay Driver95,Kolkata,evening,8.3,195,45,4.5,1618.5000000000002,0.5449999999999999,0.6950000000000001,0.4,2.0,22.6,MEDIUM,original
DRV0096,Rahul Driver96,Bangalore,morning,7.9,205,45,4.6,1619.5,0.79,0.75,0.83,1.0,32.0,HIGH,original
DRV0097,Vijay Driver97,Pune,afternoon,7.6,195,44,4.4,1482.0,0.6733333333333333,0.7466666666666667,0.6033333333333334,3.0,28.133333333333333,HIGH,original
DRV0098,Lakshmi Driver98,Kolkata,morning,8.0,202,26,4.6,1616.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0099,Pooja Driver99,Hyderabad,evening,8.4,194,44,4.7,1629.6,0.73,0.91,0.55,1.0,29.6,HIGH,original
DRV0100,Deepa Driver100,Chennai,full_day,8.4,171,38,4.5,1436.4,0.33,0.43,0.23,1.0,13.6,MEDIUM,original
DRV0101,Arun Driver101,Kolkata,afternoon,8.4,184,28,4.6,1545.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0102,Neha Driver102,Mumbai,evening,6.9,175,33,4.8,1207.5,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0103,Amit Driver103,Bangalore,afternoon,7.7,192,21,4.9,1478.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0104,Vijay Driver104,Delhi,afternoon,7.7,182,23,4.8,1401.4,0.32,0.36,0.29,1.0,13.2,MEDIUM,original
DRV0105,Vijay Driver105,Pune,afternoon,6.7,185,47,4.6,1239.5,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0106,Pooja Driver106,Bangalore,morning,8.4,201,47,4.4,1688.4,0.78,0.81,0.74,1.0,31.6,HIGH,original
DRV0107,Priya Driver107,Mumbai,full_day,7.3,190,39,4.9,1387.0,0.5614285714285715,0.5842857142857143,0.5428571428571428,7.0,25.25714285714286,HIGH,original
DRV0108,Naveen Driver108,Hyderabad,full_day,6.6,202,25,4.6,1333.1999999999998,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0109,Naveen Driver109,Delhi,morning,7.8,197,38,5.0,1536.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0110,Kavita Driver110,Chennai,full_day,9.0,181,37,5.0,1629.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0111,Sandeep Driver111,Ahmedabad,evening,8.4,170,21,4.6,1428.0,0.5766666666666667,0.6133333333333333,0.54,3.0,24.266666666666666,MEDIUM,original
DRV0112,Pooja Driver112,Chennai,evening,8.1,186,19,4.7,1506.6,0.73,0.77,0.7,1.0,29.6,HIGH,original
DRV0113,Deepa Driver113,Hyderabad,full_day,9.4,191,31,4.5,1795.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0114,Shweta Driver114,Pune,full_day,8.5,193,31,4.9,1640.5,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0115,Vijay Driver115,Ahmedabad,afternoon,8.0,184,14,4.8,1472.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0116,Deepa Driver116,Kolkata,full_day,6.7,179,38,4.9,1199.3,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0117,Lakshmi Driver117,Kolkata,full_day,6.5,203,42,4.8,1319.5,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0118,Anita Driver118,Hyderabad,evening,8.0,173,33,4.5,1384.0,0.6516666666666667,0.6216666666666667,0.6816666666666666,6.0,28.46666666666667,HIGH,original
DRV0119,Lakshmi Driver119,Mumbai,afternoon,8.8,200,48,4.5,1760.0000000000002,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0120,Amit Driver120,Hyderabad,evening,7.3,205,24,4.6,1496.5,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0121,Shweta Driver121,Bangalore,evening,9.0,182,44,4.7,1638.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0122,Priya Driver122,Delhi,evening,7.2,202,39,4.9,1454.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0123,Kiran Driver123,Bangalore,full_day,8.1,199,48,5.0,1611.9,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0124,Lakshmi Driver124,Chennai,full_day,8.2,195,12,4.4,1598.9999999999998,0.585,0.78,0.4,2.0,24.2,MEDIUM,original
DRV0125,Amit Driver125,Pune,evening,7.1,188,25,4.8,1334.8,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0126,Ravi Driver126,Hyderabad,full_day,8.7,193,45,4.7,1679.1,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0127,Kiran Driver127,Kolkata,afternoon,6.6,171,16,4.8,1128.6,0.55,0.46,0.63,1.0,22.4,MEDIUM,original
DRV0128,Vijay Driver128,Bangalore,afternoon,6.6,176,14,4.4,1161.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0129,Anita Driver129,Mumbai,morning,8.7,203,13,4.5,1766.1,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0130,Kavitha Driver130,Delhi,morning,8.3,194,27,4.5,1610.2,0.38,0.37,0.38,1.0,15.6,MEDIUM,original
DRV0131,Rekha Driver131,Ahmedabad,afternoon,6.5,180,9,4.4,1170.0,0.5099999999999999,0.5299999999999999,0.4933333333333333,3.0,21.599999999999994,MEDIUM,original
DRV0132,Neha Driver132,Chennai,full_day,7.6,204,25,4.7,1550.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0133,Sanjay Driver133,Delhi,full_day,8.2,197,41,4.8,1615.4,0.52,0.66,0.3799999999999999,3.0,22.0,MEDIUM,original
DRV0134,Priya Driver134,Hyderabad,evening,7.7,184,13,4.7,1416.8,0.69,0.9,0.48,1.0,28.0,HIGH,original
DRV0135,Neha Driver135,Kolkata,evening,6.5,170,8,4.7,1105.0,0.67,0.62,0.72,1.0,27.2,HIGH,original
DRV0136,Sanjay Driver136,Chennai,evening,7.6,170,39,5.0,1292.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0137,Anita Driver137,Hyderabad,morning,8.7,188,46,4.5,1635.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0138,Rahul Driver138,Chennai,afternoon,7.4,205,35,4.6,1517.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0139,Lakshmi Driver139,Kolkata,full_day,6.8,175,35,4.8,1190.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0140,Sandeep Driver140,Hyderabad,evening,8.3,204,25,4.6,1693.2,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0141,Arun Driver141,Delhi,afternoon,7.0,199,47,4.7,1393.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0142,Kavitha Driver142,Ahmedabad,afternoon,7.1,179,11,5.0,1270.9,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0143,Rahul Driver143,Delhi,morning,7.0,178,36,4.8,1246.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0144,Deepa Driver144,Bangalore,afternoon,6.1,183,29,4.7,1116.3,0.51,0.45,0.56,1.0,20.8,MEDIUM,original
DRV0145,Anita Driver145,Chennai,full_day,8.4,172,29,4.4,1444.8,0.762,0.744,0.776,5.0,32.480000000000004,HIGH,original
DRV0146,Sanjay Driver146,Mumbai,evening,8.7,174,42,4.7,1513.8,0.79,0.9,0.68,1.0,32.0,HIGH,original
DRV0147,Manoj Driver147,Hyderabad,full_day,8.9,177,23,4.6,1575.3,0.55,0.8049999999999999,0.29,2.0,22.8,MEDIUM,original
DRV0148,Kiran Driver148,Pune,morning,6.7,176,41,4.8,1179.2,0.53,0.58,0.48,1.0,21.6,MEDIUM,original
DRV0149,Manoj Driver149,Ahmedabad,full_day,8.4,189,28,4.5,1587.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0150,Kavita Driver150,Bangalore,evening,7.7,189,20,4.6,1455.3,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0151,Kavita Driver151,Pune,morning,6.8,197,28,4.4,1339.6,0.62,0.6699999999999999,0.5650000000000001,2.0,25.6,HIGH,original
DRV0152,Vijay Driver152,Bangalore,full_day,8.8,170,10,4.7,1496.0000000000002,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0153,Anita Driver153,Delhi,evening,8.7,185,18,4.7,1609.4999999999998,0.58,0.89,0.28,1.0,23.6,MEDIUM,original
DRV0154,Kavitha Driver154,Chennai,morning,6.2,179,42,4.9,1109.8,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0155,Sanjay Driver155,Ahmedabad,afternoon,7.1,205,30,4.9,1455.5,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0156,Kiran Driver156,Pune,morning,8.4,192,16,4.6,1612.8000000000002,0.91,0.91,0.91,1.0,36.8,HIGH,original
DRV0157,Kavita Driver157,Ahmedabad,full_day,8.0,204,39,4.5,1632.0,0.64,0.35,0.92,1.0,26.0,HIGH,original
DRV0158,Lakshmi Driver158,Chennai,evening,8.6,187,46,4.9,1608.2,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0159,Priya Driver159,Delhi,morning,7.9,198,26,4.9,1564.2,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0160,Priya Driver160,Chennai,full_day,6.0,202,32,4.8,1212.0,0.7,0.47,0.92,1.0,28.4,HIGH,original
DRV0161,Rahul Driver161,Chennai,afternoon,7.1,174,42,4.9,1235.4,0.63,0.5625,0.7025,4.0,26.8,HIGH,original
DRV0162,Manoj Driver162,Ahmedabad,afternoon,8.1,190,34,4.8,1539.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0163,Pooja Driver163,Bangalore,morning,6.2,178,19,4.9,1103.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0164,Manoj Driver164,Bangalore,full_day,6.7,172,44,4.8,1152.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0165,Ravi Driver165,Ahmedabad,evening,6.2,184,46,4.8,1140.8,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0166,Rahul Driver166,Pune,full_day,9.2,175,37,4.9,1609.9999999999998,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0167,Kavita Driver167,Chennai,full_day,8.9,173,47,4.6,1539.7,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0168,Kavita Driver168,Bangalore,evening,6.3,183,41,4.5,1152.9,0.69,0.9,0.47,1.0,28.0,HIGH,original
DRV0169,Deepa Driver169,Kolkata,afternoon,6.7,185,44,4.8,1239.5,0.84,0.825,0.855,2.0,34.4,HIGH,original
DRV0170,Lakshmi Driver170,Kolkata,morning,8.7,192,37,4.8,1670.4,0.4966666666666666,0.4766666666666666,0.5266666666666667,3.0,21.066666666666663,MEDIUM,original
DRV0171,Shweta Driver171,Bangalore,afternoon,8.8,205,33,4.7,1804.0,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0172,Lakshmi Driver172,Ahmedabad,evening,9.2,205,28,4.9,1886.0,0.5,0.62,0.3833333333333333,3.0,21.2,MEDIUM,original
DRV0173,Shweta Driver173,Kolkata,evening,8.1,204,21,4.6,1652.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0174,Priya Driver174,Hyderabad,evening,9.4,198,33,4.4,1861.2,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0175,Kavita Driver175,Hyderabad,morning,7.8,189,8,4.6,1474.2,0.6433333333333333,0.8466666666666667,0.4433333333333333,3.0,26.933333333333334,HIGH,original
DRV0176,Deepa Driver176,Pune,evening,6.1,187,43,4.7,1140.7,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0177,Naveen Driver177,Delhi,morning,6.1,192,17,4.5,1171.1999999999998,0.81,0.88,0.75,1.0,32.800000000000004,HIGH,original
DRV0178,Neha Driver178,Pune,afternoon,6.9,189,13,4.7,1304.1,0.79,0.845,0.74,2.0,32.4,HIGH,original
DRV0179,Naveen Driver179,Pune,morning,8.5,200,19,4.7,1700.0,0.54,0.72,0.37,1.0,22.0,MEDIUM,original
DRV0180,Naveen Driver180,Bangalore,evening,6.1,194,13,4.9,1183.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0181,Amit Driver181,Chennai,full_day,7.5,177,22,4.8,1327.5,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0182,Kavitha Driver182,Mumbai,full_day,6.2,203,10,4.6,1258.6,0.41,0.46,0.35,1.0,16.799999999999997,MEDIUM,original
DRV0183,Naveen Driver183,Delhi,evening,7.8,184,17,4.4,1435.2,0.575,0.5549999999999999,0.6,2.0,23.8,MEDIUM,original
DRV0184,Ravi Driver184,Ahmedabad,morning,6.8,188,33,4.5,1278.4,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0185,Amit Driver185,Bangalore,full_day,8.0,173,43,4.6,1384.0,0.595,0.7,0.49,2.0,24.6,MEDIUM,original
DRV0186,Arun Driver186,Kolkata,full_day,8.7,178,16,4.7,1548.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0187,Manoj Driver187,Ahmedabad,full_day,8.3,182,43,4.8,1510.6,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0188,Sandeep Driver188,Pune,afternoon,6.3,197,28,4.8,1241.1,0.6642857142857144,0.6657142857142857,0.6642857142857144,7.0,29.371428571428577,HIGH,original
DRV0189,Naveen Driver189,Bangalore,morning,8.4,197,31,4.6,1654.8000000000002,0.63,0.6616666666666666,0.6016666666666667,6.0,27.6,HIGH,original
DRV0190,Amit Driver190,Chennai,morning,8.7,180,30,4.8,1565.9999999999998,0.0,0.0,0.0,0.0,0.0,LOW,original
DRV0191,Kiran Driver191,Delhi,full_day,6.2,184,20,4.8,1140.8,0.57,0.84,0.3,1.0,23.2,MEDIUM,original
DRV0192,Sanjay Driver192,Bangalore,morning,8.6,185,47,5.0,1591.0,0.71,0.59,0.84,1.0,28.8,HIGH,original
DRV0193,Rekha Driver193,Mumbai,evening,8.4,177,27,4.7,1486.8,0.62,0.69,0.55,2.0,25.6,HIGH,original
DRV0194,Rahul Driver194,Chennai,afternoon,8.6,183,21,4.7,1573.8,0.64,0.93,0.35,1.0,26.0,HIGH,original
DRV0195,Vijay Driver195,Ahmedabad,afternoon,8.4,171,32,4.7,1436.4,0.7,0.94,0.46,1.0,28.4,HIGH,original
